ID,MONTHS_BALANCE,STATUS
100021,-10,X
100021,-11,X
100021,-12,X
100021,-13,C
100021,-14,C
100021,-15,C
100021,-16,0
100021,-17,C
100021,-18,C
100021,-19,C
100021,-20,X
100022,0,C
100022,-1,C
100022,-2,X
100022,-3,C
100022,-4,C
100022,-5,C
100022,-6,C
100022,-7,C
100022,-8,1
100022,-9,C
100022,-10,C
100022,-11,C
100022,-12,X
100022,-13,C
100022,-14,C
100022,-15,C
100023,0,X
100023,-1,C
100023,-2,3
100023,-3,C
100023,-4,C
100023,-5,C
100023,-6,0
100023,-7,1
100023,-8,5
100024,0,C
100024,-1,C
100024,-2,C
100024,-3,C
100024,-4,C
100024,-5,C
100024,-6,C
100024,-7,X
100024,-8,X
100025,0,X
100025,-1,C
100025,-2,C
100025,-3,C
100025,-4,C
100025,-5,X
100025,-6,X
100025,-7,0
100025,-8,C
100025,-9,0
100025,-10,1
100025,-11,X
100025,-12,0
100025,-13,C
100026,0,C
100026,-1,X
100026,-2,C
100026,-3,C
100026,-4,C
100026,-5,1
100026,-6,C
100026,-7,C
100026,-8,C
100026,-9,C
100026,-10,4
100026,-11,C
100026,-12,C
100026,-13,C
100026,-14,C
100026,-15,X
100026,-16,X
100026,-17,C
100026,-18,0
100026,-19,C
100026,-20,C
100026,-21,5
100026,-22,X
100026,-23,C
100027,0,C
100027,-1,0
100027,-2,X
100027,-3,C
100027,-4,C
100027,-5,C
100028,0,0
100028,-1,5
100028,-2,X
100028,-3,X
100028,-4,X
100028,-5,1
100028,-6,X
100028,-7,C
100028,-8,X
100028,-9,4
100029,0,X
100029,-1,C
100029,-2,X
100029,-3,C
100029,-4,C
100029,-5,1
100029,-6,X
100029,-7,C
100029,-8,C
100029,-9,C
100029,-10,C
100029,-11,1
100029,-12,C
100030,0,X
100030,-1,C
100030,-2,X
100030,-3,C
100030,-4,X
100030,-5,X
100030,-6,C
100030,-7,C
100030,-8,C
100030,-9,0
100030,-10,C
100030,-11,1
100030,-12,1
100030,-13,C
100031,0,X
100031,-1,C
100031,-2,C
100031,-3,C
100031,-4,C
100031,-5,C
100031,-6,0
100032,0,C
100032,-1,C
100032,-2,C
100032,-3,3
100032,-4,1
100032,-5,C
100032,-6,C
100032,-7,0
100032,-8,C
100032,-9,C
100032,-10,C
100032,-11,5
100032,-12,X
100032,-13,1
100033,0,C
100033,-1,C
100033,-2,C
100033,-3,X
100033,-4,C
100033,-5,C
100033,-6,X
100033,-7,C
100034,0,X
100034,-1,X
100034,-2,C
100034,-3,0
100034,-4,2
100034,-5,5
100034,-6,2
100034,-7,3
100034,-8,1
100034,-9,C
100034,-10,C
100035,0,C
100035,-1,X
100035,-2,X
100035,-3,C
100035,-4,C
100035,-5,3
100035,-6,X
100035,-7,X
100035,-8,C
100035,-9,X
100035,-10,X
100035,-11,C
100035,-12,C
100035,-13,C
100035,-14,X
100035,-15,1
100035,-16,C
100035,-17,0
100035,-18,5
100035,-19,C
100035,-20,C
100036,0,1
100036,-1,C
100036,-2,C
100036,-3,C
100036,-4,C
100036,-5,C
100036,-6,C
100036,-7,C
100036,-8,C
100036,-9,0
100037,0,X
100037,-1,X
100037,-2,C
100037,-3,C
100037,-4,0
100037,-5,C
100037,-6,1
100037,-7,C
100037,-8,X
100037,-9,C
100037,-10,C
100037,-11,C
100038,0,C
100038,-1,X
100038,-2,C
100038,-3,1
100038,-4,1
100038,-5,C
100038,-6,C
100038,-7,1
100038,-8,C
100038,-9,C
100039,0,1
100039,-1,C
100039,-2,C
100039,-3,0
100039,-4,C
100039,-5,C
100039,-6,C
100039,-7,C
100039,-8,0
100039,-9,C
100039,-10,C
100039,-11,C
100039,-12,C
100039,-13,C
100039,-14,C
100039,-15,0
100039,-16,C
100039,-17,C
100039,-18,X
100039,-19,C
100039,-20,1
100039,-21,C
100039,-22,C
100040,0,C
100040,-1,C
100040,-2,1
100040,-3,0
100040,-4,C
100040,-5,1
100040,-6,0
100040,-7,X
100040,-8,C
100040,-9,C
100040,-10,C
100040,-11,C
100040,-12,1
100040,-13,5
100040,-14,C
100040,-15,0
100041,0,X
100041,-1,1
100041,-2,C
100041,-3,C
100041,-4,C
100041,-5,X
100041,-6,X
100041,-7,C
100041,-8,C
100041,-9,X
100041,-10,C
100041,-11,1
100041,-12,X
100041,-13,C
100041,-14,C
100042,0,0
100042,-1,1
100042,-2,0
100042,-3,C
100042,-4,C
100042,-5,C
100042,-6,C
100042,-7,C
100042,-8,C
100043,0,X
100043,-1,0
100043,-2,C
100043,-3,C
100043,-4,0
100043,-5,C
100043,-6,C
100043,-7,C
100043,-8,X
100043,-9,X
100043,-10,C
100043,-11,X
100043,-12,0
100043,-13,C
100043,-14,C
100043,-15,C
100043,-16,C
100044,0,C
100044,-1,0
100044,-2,1
100044,-3,C
100044,-4,X
100044,-5,X
100044,-6,C
100044,-7,C
100044,-8,X
100045,0,C
100045,-1,1
100045,-2,X
100045,-3,0
100045,-4,X
100045,-5,C
100045,-6,1
100045,-7,C
100045,-8,C
100045,-9,C
100045,-10,1
100045,-11,C
100045,-12,C
100045,-13,C
100045,-14,X
100046,0,3
100046,-1,C
100046,-2,C
100046,-3,1
100046,-4,C
100046,-5,X
100046,-6,C
100046,-7,3
100046,-8,0
100046,-9,C
100046,-10,X
100046,-11,0
100046,-12,C
100046,-13,C
100046,-14,5
100046,-15,5
100046,-16,C
100046,-17,X
100046,-18,C
100046,-19,C
100046,-20,C
100046,-21,C
100047,0,X
100047,-1,X
100047,-2,C
100047,-3,C
100047,-4,C
100047,-5,1
100048,0,X
100048,-1,0
100048,-2,X
100048,-3,C
100048,-4,C
100048,-5,C
100048,-6,C
100048,-7,C
100048,-8,0
100048,-9,C
100048,-10,C
100048,-11,X
100048,-12,X
100048,-13,1
100048,-14,X
100048,-15,C
100049,0,X
100049,-1,C
100049,-2,C
100049,-3,C
100049,-4,1
100049,-5,C
100049,-6,C
100049,-7,C
100049,-8,C
100049,-9,X
100049,-10,X
100049,-11,C
100049,-12,0
100049,-13,0
100049,-14,X
100049,-15,C
100049,-16,C
100049,-17,C
100049,-18,C
100049,-19,X
100049,-20,C
100049,-21,C
100049,-22,C
100049,-23,X
100050,0,C
100050,-1,C
100050,-2,0
100050,-3,C
100050,-4,X
100050,-5,0
100050,-6,C
100050,-7,C
100050,-8,C
100050,-9,C
100050,-10,C
100050,-11,C
100050,-12,C
100050,-13,C
100050,-14,C
100050,-15,C
100050,-16,C
100050,-17,C
100050,-18,X
100051,0,X
100051,-1,C
100051,-2,C
100051,-3,1
100051,-4,C
100051,-5,C
100051,-6,0
100051,-7,C
100051,-8,C
100051,-9,C
100051,-10,5
100051,-11,X
100051,-12,C
100051,-13,C
100051,-14,X
100051,-15,C
100051,-16,C
100051,-17,C
100051,-18,0
100051,-19,1
100052,0,C
100052,-1,C
100052,-2,C
100052,-3,C
100052,-4,X
100052,-5,C
100052,-6,C
100052,-7,X
100052,-8,X
100052,-9,C
100052,-10,C
100052,-11,C
100052,-12,C
100052,-13,1
100052,-14,C
100052,-15,1
100052,-16,C
100052,-17,C
100052,-18,C
100052,-19,C
100052,-20,1
100052,-21,C
100052,-22,X
100053,0,X
100053,-1,X
100053,-2,X
100053,-3,C
100053,-4,C
100053,-5,C
100053,-6,C
100053,-7,C
100053,-8,X
100053,-9,0
100053,-10,C
100053,-11,C
100053,-12,C
100053,-13,C
100053,-14,1
100053,-15,C
100054,0,1
100054,-1,X
100054,-2,5
100054,-3,4
100054,-4,C
100054,-5,C
100054,-6,X
100054,-7,C
100054,-8,3
100055,0,C
100055,-1,C
100055,-2,X
100055,-3,X
100055,-4,C
100055,-5,C
100055,-6,C
100055,-7,1
100055,-8,C
100055,-9,C
100055,-10,C
100055,-11,C
100055,-12,1
100055,-13,X
100055,-14,X
100055,-15,X
100055,-16,X
100055,-17,C
100056,0,C
100056,-1,2
100056,-2,C
100056,-3,X
100056,-4,C
100056,-5,3
100056,-6,4
100056,-7,4
100056,-8,3
100056,-9,C
100056,-10,X
100056,-11,0
100056,-12,0
100056,-13,C
100056,-14,C
100057,0,C
100057,-1,0
100057,-2,C
100057,-3,C
100057,-4,C
100057,-5,X
100057,-6,C
100057,-7,C
100057,-8,C
100057,-9,C
100057,-10,C
100057,-11,C
100057,-12,3
100057,-13,X
100057,-14,C
100057,-15,C
100057,-16,0
100057,-17,C
100057,-18,C
100057,-19,X
100058,0,C
100058,-1,4
100058,-2,C
100058,-3,X
100058,-4,C
100058,-5,C
100058,-6,C
100058,-7,C
100058,-8,C
100058,-9,0
100058,-10,C
100058,-11,C
100058,-12,C
100059,0,C
100059,-1,0
100059,-2,X
100059,-3,1
100059,-4,C
100059,-5,1
100059,-6,C
100059,-7,X
100059,-8,C
100059,-9,C
100059,-10,C
100059,-11,C
100059,-12,X
100059,-13,C
100059,-14,0
100059,-15,C
100059,-16,X
100059,-17,X
100059,-18,C
100059,-19,C
100059,-20,X
100059,-21,C
100059,-22,C
100059,-23,X
100060,0,0
100060,-1,C
100060,-2,C
100060,-3,C
100060,-4,C
100060,-5,X
100060,-6,X
100060,-7,1
100060,-8,C
100060,-9,C
100060,-10,C
100060,-11,C
100060,-12,C
100060,-13,C
100060,-14,C
100061,0,C
100061,-1,C
100061,-2,1
100061,-3,C
100061,-4,X
100061,-5,0
100061,-6,C
100061,-7,C
100061,-8,X
100061,-9,C
100061,-10,X
100061,-11,1
100061,-12,C
100061,-13,C
100061,-14,C
100061,-15,X
100061,-16,1
100061,-17,1
100062,0,C
100062,-1,5
100062,-2,4
100062,-3,5
100062,-4,X
100062,-5,3
100062,-6,2
100062,-7,C
100062,-8,C
100062,-9,C
100062,-10,C
100062,-11,C
100062,-12,2
100063,0,X
100063,-1,C
100063,-2,C
100063,-3,C
100063,-4,C
100063,-5,C
100063,-6,C
100063,-7,C
100063,-8,0
100063,-9,C
100063,-10,C
100063,-11,X
100063,-12,C
100063,-13,C
100063,-14,C
100063,-15,C
100064,0,X
100064,-1,X
100064,-2,X
100064,-3,C
100064,-4,X
100064,-5,C
100064,-6,C
100064,-7,C
100064,-8,C
100064,-9,X
100065,0,0
100065,-1,C
100065,-2,C
100065,-3,C
100065,-4,C
100065,-5,C
100065,-6,C
100065,-7,X
100065,-8,C
100065,-9,C
100065,-10,C
100065,-11,C
100065,-12,X
100065,-13,1
100065,-14,C
100066,0,C
100066,-1,X
100066,-2,C
100066,-3,1
100066,-4,X
100066,-5,0
100066,-6,X
100066,-7,C
100066,-8,C
100066,-9,X
100066,-10,C
100066,-11,C
100066,-12,C
100066,-13,C
100066,-14,1
100066,-15,X
100066,-16,0
100066,-17,C
100066,-18,X
100067,0,C
100067,-1,C
100067,-2,C
100067,-3,C
100067,-4,X
100067,-5,C
100067,-6,C
100067,-7,C
100067,-8,C
100067,-9,C
100067,-10,C
100067,-11,C
100067,-12,C
100067,-13,X
100067,-14,0
100067,-15,C
100067,-16,C
100067,-17,X
100068,0,C
100068,-1,C
100068,-2,C
100068,-3,C
100068,-4,C
100068,-5,X
100068,-6,1
100068,-7,X
100068,-8,X
100068,-9,0
100068,-10,C
100068,-11,X
100069,0,5
100069,-1,X
100069,-2,C
100069,-3,C
100069,-4,C
100069,-5,X
100069,-6,C
100069,-7,C
100069,-8,C
100069,-9,X
100069,-10,C
100069,-11,C
100069,-12,4
100069,-13,0
100069,-14,X
100069,-15,1
100069,-16,0
100069,-17,C
100069,-18,C
100069,-19,X
100069,-20,X
100069,-21,C
100069,-22,X
100070,0,C
100070,-1,C
100070,-2,C
100070,-3,0
100070,-4,C
100070,-5,C
100070,-6,X
100070,-7,C
100070,-8,1
100070,-9,C
100070,-10,C
100070,-11,X
100070,-12,C
100070,-13,X
100070,-14,C
100070,-15,C
100070,-16,C
100070,-17,C
100070,-18,X
100070,-19,C
100070,-20,C
100070,-21,C
100071,0,C
100071,-1,1
100071,-2,X
100071,-3,C
100071,-4,0
100071,-5,C
100071,-6,C
100071,-7,C
100071,-8,1
100071,-9,X
100071,-10,X
100071,-11,X
100071,-12,1
100072,0,C
100072,-1,C
100072,-2,C
100072,-3,C
100072,-4,X
100072,-5,X
100072,-6,0
100072,-7,C
100072,-8,C
100072,-9,C
100072,-10,C
100072,-11,X
100072,-12,C
100072,-13,1
100072,-14,X
100072,-15,C
100072,-16,C
100072,-17,X
100072,-18,C
100072,-19,X
100072,-20,C
100072,-21,X
100072,-22,C
100072,-23,C
100073,0,C
100073,-1,C
100073,-2,X
100073,-3,C
100073,-4,C
100073,-5,C
100073,-6,2
100073,-7,C
100073,-8,C
100073,-9,1
100073,-10,2
100073,-11,4
100073,-12,X
100073,-13,X
100073,-14,C
100073,-15,C
100074,0,1
100074,-1,C
100074,-2,C
100074,-3,X
100074,-4,C
100074,-5,C
100074,-6,0
100074,-7,C
100074,-8,C
100074,-9,0
100074,-10,C
100074,-11,C
100074,-12,C
100074,-13,C
100074,-14,0
100074,-15,X
100074,-16,C
100074,-17,1
100074,-18,0
100074,-19,X
100075,0,C
100075,-1,0
100075,-2,X
100075,-3,X
100075,-4,C
100075,-5,X
100075,-6,C
100076,0,C
100076,-1,X
100076,-2,C
100076,-3,0
100076,-4,C
100076,-5,1
100076,-6,C
100076,-7,C
100076,-8,C
100076,-9,1
100076,-10,0
100076,-11,X
100076,-12,C
100076,-13,C
100076,-14,C
100076,-15,C
100076,-16,C
100076,-17,C
100076,-18,0
100076,-19,C
100076,-20,C
100076,-21,3
100076,-22,C
100076,-23,0
100077,0,C
100077,-1,C
100077,-2,C
100077,-3,X
100077,-4,0
100077,-5,C
100078,0,C
100078,-1,C
100078,-2,C
100078,-3,2
100078,-4,3
100078,-5,3
100078,-6,C
100078,-7,5
100078,-8,0
100078,-9,0
100078,-10,C
100078,-11,X
100078,-12,4
100078,-13,4
100078,-14,C
100078,-15,C
100078,-16,C
100078,-17,3
100079,0,0
100079,-1,C
100079,-2,C
100079,-3,X
100079,-4,C
100079,-5,C
100079,-6,C
100080,0,C
100080,-1,X
100080,-2,X
100080,-3,0
100080,-4,C
100080,-5,X
100080,-6,C
100080,-7,C
100080,-8,C
100080,-9,C
100080,-10,X
100080,-11,3
100080,-12,C
100080,-13,0
100080,-14,C
100080,-15,5
100080,-16,C
100081,0,C
100081,-1,X
100081,-2,C
100081,-3,C
100081,-4,C
100081,-5,C
100081,-6,C
100081,-7,C
100081,-8,C
100081,-9,C
100081,-10,C
100081,-11,0
100081,-12,C
100081,-13,C
100081,-14,C
100081,-15,C
100081,-16,X
100081,-17,C
100081,-18,0
100081,-19,X
100081,-20,X
100081,-21,C
100081,-22,1
100081,-23,C
100082,0,X
100082,-1,1
100082,-2,X
100082,-3,X
100082,-4,C
100082,-5,C
100082,-6,C
100082,-7,C
100083,0,0
100083,-1,C
100083,-2,C
100083,-3,0
100083,-4,C
100083,-5,C
100083,-6,C
100083,-7,X
100083,-8,C
100083,-9,C
100083,-10,X
100083,-11,X
100083,-12,C
100083,-13,C
100083,-14,4
100083,-15,C
100083,-16,C
100083,-17,C
100083,-18,C
100083,-19,X
100083,-20,C
100083,-21,0
100083,-22,X
100083,-23,C
100084,0,1
100084,-1,0
100084,-2,C
100084,-3,X
100084,-4,C
100084,-5,C
100084,-6,C
100084,-7,C
100084,-8,C
100084,-9,X
100084,-10,X
100084,-11,C
100084,-12,C
100084,-13,C
100084,-14,C
100084,-15,X
100084,-16,X
100084,-17,X
100085,0,2
100085,-1,C
100085,-2,C
100085,-3,C
100085,-4,C
100085,-5,0
100085,-6,C
100085,-7,3
100085,-8,C
100085,-9,C
100085,-10,C
100085,-11,2
100085,-12,5
100085,-13,X
100085,-14,C
100085,-15,C
100085,-16,X
100085,-17,X
100085,-18,1
100085,-19,X
100086,0,C
100086,-1,X
100086,-2,C
100086,-3,C
100086,-4,C
100086,-5,C
100086,-6,1
100086,-7,C
100086,-8,C
100086,-9,C
100086,-10,0
100086,-11,C
100086,-12,C
100086,-13,C
100086,-14,C
100086,-15,C
100086,-16,X
100086,-17,X
100086,-18,1
100087,0,C
100087,-1,X
100087,-2,C
100087,-3,1
100087,-4,C
100087,-5,C
100088,0,X
100088,-1,C
100088,-2,C
100088,-3,C
100088,-4,0
100088,-5,C
100088,-6,C
100088,-7,C
100088,-8,C
100088,-9,X
100088,-10,C
100088,-11,C
100088,-12,C
100088,-13,C
100088,-14,C
100088,-15,X
100088,-16,1
100088,-17,1
100088,-18,C
100088,-19,C
100088,-20,C
100088,-21,C
100089,0,X
100089,-1,1
100089,-2,C
100089,-3,C
100089,-4,C
100089,-5,C
100089,-6,4
100089,-7,C
100089,-8,X
100089,-9,C
100089,-10,X
100089,-11,1
100089,-12,C
100089,-13,1
100090,0,0
100090,-1,C
100090,-2,C
100090,-3,C
100090,-4,C
100090,-5,C
100090,-6,C
100090,-7,C
100090,-8,0
100090,-9,C
100090,-10,X
100090,-11,C
100090,-12,C
100090,-13,C
100090,-14,0
100090,-15,C
100090,-16,C
100090,-17,0
100091,0,C
100091,-1,C
100091,-2,C
100091,-3,C
100091,-4,C
100091,-5,C
100091,-6,C
100091,-7,C
100091,-8,C
100091,-9,C
100091,-10,C
100091,-11,1
100091,-12,C
100092,0,X
100092,-1,X
100092,-2,C
100092,-3,C
100092,-4,C
100092,-5,X
100092,-6,C
100092,-7,X
100092,-8,C
100092,-9,X
100092,-10,1
100092,-11,C
100092,-12,C
100092,-13,X
100092,-14,C
100092,-15,X
100092,-16,C
100092,-17,1
100092,-18,C
100092,-19,0
100092,-20,X
100092,-21,C
100092,-22,0
100093,0,C
100093,-1,C
100093,-2,X
100093,-3,C
100093,-4,X
100093,-5,C
100093,-6,C
100093,-7,C
100094,0,0
100094,-1,C
100094,-2,C
100094,-3,C
100094,-4,C
100094,-5,C
100094,-6,C
100094,-7,C
100094,-8,X
100094,-9,X
100094,-10,X
100094,-11,C
100094,-12,X
100095,0,C
100095,-1,C
100095,-2,1
100095,-3,X
100095,-4,0
100095,-5,C
100095,-6,X
100095,-7,X
100095,-8,C
100095,-9,C
100095,-10,C
100095,-11,C
100095,-12,X
100095,-13,C
100095,-14,C
100095,-15,C
100095,-16,X
100096,0,X
100096,-1,X
100096,-2,C
100096,-3,C
100096,-4,C
100096,-5,C
100096,-6,X
100096,-7,C
100096,-8,C
100096,-9,1
100096,-10,C
100096,-11,C
100096,-12,X
100096,-13,C
100097,0,0
100097,-1,0
100097,-2,C
100097,-3,C
100097,-4,C
100097,-5,X
100097,-6,C
100097,-7,5
100097,-8,C
100097,-9,1
100097,-10,1
100097,-11,C
100097,-12,C
100097,-13,C
100097,-14,C
100097,-15,C
100097,-16,C
100097,-17,X
100097,-18,C
100098,0,C
100098,-1,C
100098,-2,4
100098,-3,4
100098,-4,C
100098,-5,C
100098,-6,C
100098,-7,1
100098,-8,C
100098,-9,C
100098,-10,3
100099,0,X
100099,-1,C
100099,-2,C
100099,-3,C
100099,-4,C
100099,-5,C
100099,-6,C
100099,-7,C
100099,-8,C
100099,-9,C
100100,0,C
100100,-1,X
100100,-2,X
100100,-3,C
100100,-4,C
100100,-5,X
100100,-6,C
100100,-7,C
100100,-8,C
100100,-9,C
100101,0,C
100101,-1,C
100101,-2,C
100101,-3,C
100101,-4,C
100101,-5,C
100101,-6,X
100101,-7,C
100101,-8,X
100102,0,C
100102,-1,C
100102,-2,1
100102,-3,C
100102,-4,C
100102,-5,C
100102,-6,X
100103,0,5
100103,-1,0
100103,-2,C
100103,-3,1
100103,-4,X
100103,-5,1
100103,-6,C
100103,-7,C
100104,0,X
100104,-1,0
100104,-2,C
100104,-3,C
100104,-4,C
100104,-5,C
100104,-6,X
100104,-7,C
100104,-8,X
100104,-9,C
100104,-10,0
100104,-11,X
100104,-12,0
100104,-13,X
100105,0,C
100105,-1,0
100105,-2,C
100105,-3,C
100105,-4,C
100105,-5,C
100105,-6,C
100105,-7,0
100105,-8,C
100105,-9,C
100105,-10,1
100105,-11,X
100105,-12,0
100105,-13,C
100105,-14,C
100105,-15,C
100105,-16,X
100105,-17,4
100105,-18,X
100105,-19,C
100105,-20,3
100105,-21,4
100106,0,C
100106,-1,X
100106,-2,X
100106,-3,C
100106,-4,C
100106,-5,C
100106,-6,C
100106,-7,0
100106,-8,X
100106,-9,3
100106,-10,C
100106,-11,X
100106,-12,C
100106,-13,C
100106,-14,X
100106,-15,C
100106,-16,C
100107,0,C
100107,-1,1
100107,-2,0
100107,-3,C
100107,-4,3
100107,-5,X
100107,-6,C
100107,-7,C
100107,-8,5
100107,-9,0
100107,-10,C
100107,-11,0
100107,-12,C
100107,-13,C
100107,-14,C
100107,-15,C
100107,-16,X
100107,-17,1
100107,-18,C
100107,-19,C
100107,-20,X
100107,-21,X
100108,0,C
100108,-1,C
100108,-2,X
100108,-3,X
100108,-4,C
100108,-5,C
100108,-6,X
100108,-7,C
100108,-8,C
100108,-9,C
100108,-10,C
100108,-11,C
100108,-12,C
100108,-13,C
100108,-14,1
100108,-15,C
100108,-16,1
100108,-17,C
100108,-18,C
100108,-19,C
100108,-20,C
100108,-21,C
100108,-22,C
100109,0,X
100109,-1,C
100109,-2,C
100109,-3,3
100109,-4,4
100109,-5,C
100109,-6,1
100109,-7,X
100109,-8,4
100109,-9,C
100109,-10,C
100109,-11,X
100110,0,C
100110,-1,0
100110,-2,X
100110,-3,X
100110,-4,C
100110,-5,C
100110,-6,C
100110,-7,X
100110,-8,C
100110,-9,C
100110,-10,C
100110,-11,1
100110,-12,C
100110,-13,C
100110,-14,C
100111,0,X
100111,-1,C
100111,-2,X
100111,-3,X
100111,-4,0
100111,-5,C
100111,-6,C
100111,-7,C
100111,-8,C
100111,-9,C
100111,-10,C
100111,-11,C
100111,-12,C
100111,-13,C
100111,-14,X
100111,-15,C
100112,0,C
100112,-1,4
100112,-2,C
100112,-3,C
100112,-4,0
100112,-5,C
100112,-6,C
100112,-7,C
100113,0,X
100113,-1,2
100113,-2,C
100113,-3,C
100113,-4,C
100113,-5,C
100113,-6,C
100113,-7,1
100113,-8,2
100113,-9,C
100113,-10,X
100113,-11,C
100113,-12,C
100113,-13,C
100113,-14,C
100113,-15,C
100113,-16,C
100113,-17,4
100113,-18,0
100113,-19,C
100113,-20,C
100114,0,X
100114,-1,X
100114,-2,C
100114,-3,C
100114,-4,0
100114,-5,X
100114,-6,0
100115,0,C
100115,-1,1
100115,-2,1
100115,-3,C
100115,-4,C
100115,-5,C
100115,-6,C
100115,-7,C
100115,-8,C
100115,-9,C
100115,-10,C
100115,-11,C
100115,-12,X
100115,-13,C
100115,-14,C
100115,-15,C
100115,-16,X
100115,-17,X
100115,-18,X
100115,-19,C
100115,-20,C
100116,0,C
100116,-1,C
100116,-2,C
100116,-3,X
100116,-4,C
100116,-5,0
100116,-6,X
100116,-7,X
100116,-8,X
100116,-9,C
100116,-10,1
100117,0,C
100117,-1,C
100117,-2,X
100117,-3,X
100117,-4,C
100117,-5,C
100117,-6,C
100117,-7,C
100117,-8,C
100117,-9,5
100117,-10,X
100117,-11,0
100117,-12,C
100117,-13,C
100117,-14,C
100118,0,C
100118,-1,C
100118,-2,C
100118,-3,C
100118,-4,C
100118,-5,C
100118,-6,C
100118,-7,0
100118,-8,C
100118,-9,C
100118,-10,C
100118,-11,C
