ID,AGE,GENDER,ANNUAL_INCOME,CREDIT_SCORE,EMPLOYMENT_STATUS,EMPLOYMENT_YEARS,EDUCATION_TYPE,FAMILY_STATUS,HOUSING_TYPE,MONTHLY_DEBT,EXISTING_ACCOUNTS,REQUESTED_CREDIT_LIMIT
100086,23,M,56600.0,748,Retired,0.0,Graduate,Married,Owned,1100.0,5,500000
100087,35,M,377000.0,691,Salaried,2.6,High School,Single,Living with Parents,2000.0,3,300000
100088,61,F,661600.0,729,Salaried,7.8,Professional Degree,Married,Owned,0.0,6,150000
100089,65,F,782000.0,729,Salaried,12.7,Graduate,Married,Rented,11200.0,1,500000
100090,42,F,818400.0,740,Self-employed,5.5,Post Graduate,Single,Owned,9500.0,1,75000
100091,63,F,1230000.0,828,Self-employed,16.4,Professional Degree,Married,Rented,900.0,6,150000
100092,65,F,0.0,587,Unemployed,0.0,Graduate,Married,Owned,0.0,7,50000
100093,40,F,368000.0,719,Salaried,6.0,Graduate,Married,Living with Parents,700.0,1,25000
100094,69,M,732300.0,694,Salaried,14.2,Graduate,Married,Rented,9200.0,3,200000
100095,34,M,296300.0,871,Retired,1.6,High School,Married,Company Provided,5500.0,0,100000
100096,31,M,808500.0,865,Self-employed,6.6,Professional Degree,Married,Rented,12200.0,7,150000
100097,56,M,842200.0,808,Salaried,15.0,Graduate,Married,Rented,12400.0,2,500000
100098,54,M,20000.0,608,Unemployed,0.0,Post Graduate,Married,Living with Parents,200.0,6,100000
100099,25,M,436600.0,800,Salaried,7.0,Graduate,Widowed,Owned,6300.0,6,500000
100100,65,F,537600.0,747,Salaried,12.1,High School,Married,Rented,9000.0,1,150000
100101,29,M,432200.0,725,Salaried,1.0,Graduate,Married,Owned,3900.0,7,75000
100102,63,F,154000.0,668,Retired,14.9,High School,Married,Living with Parents,900.0,7,25000
100103,18,F,176500.0,705,Retired,1.7,High School,Single,Owned,3300.0,5,500000
100104,63,F,334400.0,885,Salaried,13.3,Graduate,Single,Rented,8600.0,7,300000
100105,62,F,594100.0,696,Salaried,12.2,Below High School,Single,Rented,13800.0,7,75000
100106,62,M,1139200.0,795,Salaried,16.7,Professional Degree,Married,Rented,0.0,4,200000
100107,55,F,593900.0,750,Salaried,9.2,Graduate,Married,Owned,12900.0,4,300000
100108,44,M,496600.0,738,Retired,7.6,Graduate,Single,Rented,4500.0,7,25000
100109,58,F,648100.0,692,Salaried,17.1,High School,Married,Living with Parents,16400.0,1,500000
100110,33,M,0.0,608,Retired,0.5,High School,Widowed,Owned,0.0,3,50000
100111,62,M,1137800.0,837,Self-employed,11.8,Graduate,Married,Owned,6600.0,4,50000
100112,49,F,38700.0,805,Salaried,12.4,High School,Married,Company Provided,500.0,0,100000
100113,44,F,676900.0,900,Self-employed,9.4,Graduate,Married,Living with Parents,7200.0,5,75000
100114,46,M,520800.0,783,Self-employed,11.1,Graduate,Married,Owned,5700.0,5,100000
100115,50,F,858400.0,728,Salaried,5.6,High School,Single,Rented,16800.0,0,150000
100116,20,M,561900.0,798,Salaried,1.6,Graduate,Married,Owned,12100.0,6,100000
100117,25,F,753000.0,626,Retired,1.2,High School,Married,Company Provided,5300.0,3,75000
100118,31,M,654200.0,778,Self-employed,10.7,High School,Single,Rented,15900.0,0,150000
100119,24,M,550400.0,836,Self-employed,4.2,Post Graduate,Single,Rented,2800.0,0,500000
100120,43,M,70300.0,743,Salaried,7.4,Below High School,Single,Owned,700.0,2,200000
100121,56,M,904200.0,879,Self-employed,12.3,High School,Widowed,Rented,27300.0,3,100000
100122,55,M,508100.0,693,Self-employed,11.3,Graduate,Single,Owned,8000.0,3,200000
100123,44,M,496700.0,698,Salaried,9.9,Graduate,Married,Living with Parents,4400.0,4,300000
100124,66,M,1056400.0,783,Salaried,11.8,Professional Degree,Single,Rented,15900.0,5,25000
100125,50,M,945000.0,692,Salaried,13.7,Post Graduate,Divorced,Rented,17000.0,5,50000
100126,22,F,455900.0,759,Self-employed,0.0,Graduate,Married,Living with Parents,7100.0,3,500000
100127,61,M,521600.0,807,Salaried,13.5,Graduate,Single,Owned,11400.0,2,500000
100128,50,F,0.0,650,Retired,7.1,Graduate,Married,Owned,0.0,5,200000
100129,54,F,25900.0,676,Salaried,10.9,Below High School,Single,Rented,200.0,0,200000
100130,50,M,591400.0,856,Retired,12.6,Post Graduate,Married,Living with Parents,4400.0,7,500000
100131,49,F,730100.0,784,Salaried,4.2,Graduate,Single,Owned,5700.0,3,25000
100132,23,M,637600.0,647,Self-employed,1.0,High School,Married,Living with Parents,8700.0,5,150000
100133,49,M,586200.0,480,Salaried,5.0,Graduate,Married,Rented,3700.0,1,50000
100134,63,F,548900.0,721,Self-employed,12.7,Graduate,Married,Rented,8400.0,0,500000
100135,35,F,0.0,628,Unemployed,0.0,Graduate,Single,Rented,0.0,0,25000
100136,52,F,163800.0,707,Salaried,10.7,High School,Married,Owned,800.0,3,25000
100137,19,M,486900.0,719,Salaried,0.0,Post Graduate,Single,Owned,4400.0,5,150000
100138,37,F,566500.0,667,Salaried,7.9,High School,Married,Living with Parents,5600.0,7,75000
100139,42,M,778000.0,716,Salaried,10.9,Professional Degree,Married,Rented,9200.0,4,300000
100140,74,M,370700.0,664,Retired,16.8,Graduate,Married,Rented,4500.0,3,75000
100141,30,M,622500.0,808,Salaried,6.3,Professional Degree,Divorced,Company Provided,12100.0,4,300000
100142,33,F,876400.0,864,Self-employed,8.6,Post Graduate,Married,Owned,17400.0,1,100000
100143,41,M,269500.0,610,Salaried,4.1,Graduate,Single,Rented,2100.0,1,150000
100144,74,F,20000.0,641,Unemployed,0.0,Post Graduate,Married,Owned,400.0,6,500000
100145,66,F,683700.0,800,Salaried,14.3,High School,Single,Owned,15400.0,7,150000
100146,19,F,0.0,650,Student,0.0,High School,Married,Company Provided,0.0,6,50000
100147,31,F,504300.0,763,Salaried,4.8,High School,Married,Company Provided,7400.0,6,500000
100148,64,F,30000.0,793,Student,2.0,Graduate,Married,Owned,400.0,5,500000
100149,21,M,82600.0,672,Self-employed,0.0,Below High School,Married,Company Provided,300.0,6,100000
100150,66,M,233100.0,690,Salaried,11.1,Graduate,Married,Owned,2500.0,0,100000
100151,34,F,516800.0,887,Retired,9.7,Professional Degree,Married,Company Provided,1700.0,0,300000
100152,70,M,603800.0,757,Salaried,16.4,Post Graduate,Married,Living with Parents,12600.0,7,150000
100153,34,M,422200.0,687,Salaried,9.2,High School,Widowed,Owned,4900.0,0,25000
100154,42,M,679200.0,781,Salaried,6.0,Graduate,Married,Rented,8700.0,2,75000
100155,55,M,40800.0,668,Retired,8.7,High School,Divorced,Living with Parents,400.0,3,25000
100156,25,M,19100.0,652,Self-employed,0.0,High School,Married,Owned,100.0,4,75000
100157,49,M,1064300.0,756,Salaried,12.2,Post Graduate,Married,Owned,19200.0,2,50000
100158,46,F,752600.0,769,Retired,9.6,Professional Degree,Married,Rented,12600.0,7,500000
100159,62,M,831400.0,750,Salaried,12.0,High School,Married,Owned,16300.0,2,500000
100160,74,F,343000.0,552,Salaried,14.4,High School,Married,Owned,600.0,6,25000
100161,55,F,613500.0,747,Salaried,14.5,Graduate,Single,Owned,13600.0,5,300000
100162,41,M,278500.0,572,Salaried,6.4,Graduate,Single,Living with Parents,3500.0,0,300000
100163,41,F,594400.0,675,Self-employed,6.4,High School,Married,Owned,11000.0,7,500000
100164,41,F,429300.0,729,Salaried,5.1,High School,Married,Rented,0.0,1,500000
100165,64,F,376200.0,714,Salaried,12.6,Graduate,Married,Owned,6000.0,4,75000
100166,36,M,634600.0,773,Salaried,7.1,High School,Single,Owned,8200.0,4,100000
100167,27,M,253100.0,755,Retired,0.0,Post Graduate,Married,Rented,3000.0,0,50000
100168,37,M,1022100.0,567,Self-employed,5.9,Graduate,Married,Owned,13000.0,7,300000
100169,19,F,547700.0,827,Salaried,3.2,Graduate,Married,Rented,5100.0,0,25000
100170,24,F,43000.0,722,Self-employed,1.5,Graduate,Married,Rented,200.0,3,150000
100171,23,F,233600.0,688,Salaried,4.7,Post Graduate,Single,Rented,1100.0,1,100000
100172,61,F,793100.0,704,Retired,16.9,High School,Married,Owned,10700.0,1,75000
100173,59,F,646000.0,601,Salaried,15.0,Post Graduate,Married,Living with Parents,14300.0,0,500000
100174,57,F,523700.0,700,Salaried,10.1,Below High School,Divorced,Owned,10800.0,1,100000
100175,44,M,661400.0,816,Salaried,7.7,Post Graduate,Widowed,Living with Parents,9800.0,1,25000
100176,58,F,888600.0,680,Salaried,13.0,High School,Married,Owned,9000.0,5,300000
100177,27,M,182200.0,649,Salaried,1.3,Post Graduate,Married,Owned,4900.0,0,500000
100178,69,M,886600.0,717,Self-employed,13.8,Below High School,Single,Rented,15800.0,4,75000
100179,46,M,927600.0,870,Salaried,6.7,Post Graduate,Married,Owned,16000.0,2,75000
100180,71,F,712900.0,875,Salaried,23.5,Graduate,Married,Rented,3200.0,0,200000
100181,26,M,575300.0,732,Self-employed,1.6,Below High School,Married,Living with Parents,8700.0,0,25000
100182,46,M,702900.0,900,Self-employed,11.6,Post Graduate,Married,Living with Parents,3600.0,6,200000
100183,57,M,0.0,650,Retired,9.1,High School,Widowed,Rented,0.0,7,50000
100184,46,M,749200.0,857,Salaried,13.5,Graduate,Single,Company Provided,5800.0,4,50000
100185,43,M,291800.0,705,Retired,6.4,High School,Widowed,Rented,2700.0,4,25000
100186,27,F,674900.0,700,Self-employed,2.9,Graduate,Single,Owned,6100.0,1,200000
100187,39,F,703300.0,842,Salaried,0.8,Post Graduate,Single,Living with Parents,7600.0,6,200000
100188,31,M,431800.0,647,Salaried,7.2,Graduate,Single,Owned,7700.0,3,100000
100189,35,M,910400.0,790,Salaried,9.1,Graduate,Single,Owned,12200.0,5,500000
100190,56,M,662000.0,709,Salaried,7.8,Post Graduate,Married,Owned,9000.0,6,25000
100191,53,M,835200.0,792,Self-employed,14.0,Graduate,Married,Owned,15100.0,3,500000
100192,52,F,545900.0,730,Self-employed,6.2,High School,Married,Owned,1800.0,2,300000
100193,38,F,802100.0,761,Salaried,7.9,Graduate,Married,Owned,14700.0,3,25000
100194,72,F,620600.0,732,Salaried,15.3,High School,Married,Rented,8800.0,7,100000
100195,22,M,248100.0,763,Retired,5.2,Graduate,Married,Living with Parents,2100.0,5,150000
100196,37,F,783200.0,776,Salaried,6.4,High School,Married,Company Provided,11100.0,5,150000
100197,24,M,252400.0,618,Salaried,4.6,Post Graduate,Married,Owned,3600.0,2,100000
100198,37,M,0.0,621,Unemployed,0.0,Graduate,Married,Owned,0.0,2,75000
100199,72,F,502900.0,718,Salaried,15.3,Graduate,Married,Rented,11300.0,4,75000
100200,38,F,685400.0,729,Self-employed,5.9,High School,Married,Owned,14700.0,0,150000
100201,69,F,647500.0,656,Self-employed,12.0,Below High School,Widowed,Owned,3000.0,0,150000
100202,46,F,654900.0,868,Salaried,7.5,Post Graduate,Married,Rented,5400.0,4,100000
100203,57,F,500400.0,753,Salaried,17.5,Graduate,Married,Living with Parents,11200.0,6,50000
100204,44,F,395600.0,840,Retired,10.1,Post Graduate,Married,Owned,7000.0,3,150000
100205,33,M,583700.0,641,Salaried,1.4,Graduate,Single,Rented,9300.0,2,50000
100206,61,M,580900.0,714,Salaried,17.8,High School,Single,Rented,9400.0,5,100000
100207,73,M,903000.0,723,Salaried,17.7,Graduate,Married,Living with Parents,14300.0,1,500000
100208,33,M,417600.0,763,Retired,7.0,Graduate,Married,Owned,2600.0,0,200000
100209,62,M,596500.0,630,Salaried,14.7,High School,Single,Living with Parents,5700.0,5,200000
100210,32,M,33400.0,565,Salaried,5.5,Graduate,Divorced,Living with Parents,700.0,3,25000
100211,58,F,466000.0,650,Salaried,6.0,High School,Married,Owned,8300.0,0,300000
100212,62,F,747100.0,789,Salaried,16.5,High School,Married,Rented,11400.0,5,200000
100213,43,F,414800.0,585,Self-employed,0.7,Below High School,Married,Rented,3700.0,7,150000
100214,60,M,427100.0,774,Retired,15.6,Graduate,Married,Owned,8500.0,2,75000
100215,33,F,493800.0,672,Salaried,4.8,Graduate,Single,Rented,3400.0,5,100000
100216,22,M,634400.0,556,Self-employed,3.7,High School,Widowed,Rented,14700.0,5,75000
100217,23,M,1006200.0,833,Self-employed,2.0,Post Graduate,Widowed,Living with Parents,8600.0,5,100000
100218,43,M,948500.0,835,Self-employed,10.6,Post Graduate,Single,Owned,7100.0,3,300000
100219,69,M,352700.0,744,Salaried,15.3,Graduate,Married,Rented,4800.0,0,50000
100220,25,M,121300.0,686,Salaried,2.9,High School,Widowed,Owned,1800.0,1,200000
100221,43,F,725700.0,703,Self-employed,8.7,High School,Married,Rented,10100.0,4,500000
100222,58,F,965300.0,665,Self-employed,17.6,High School,Married,Rented,4400.0,4,50000
100223,29,F,450600.0,872,Self-employed,5.1,Professional Degree,Single,Rented,7300.0,0,200000
100224,59,M,618500.0,752,Salaried,8.3,Post Graduate,Married,Rented,12300.0,1,25000
100225,35,F,1012700.0,750,Salaried,3.4,High School,Single,Owned,13000.0,2,150000
100226,64,F,581300.0,715,Salaried,15.6,Graduate,Widowed,Owned,1800.0,6,75000
100227,51,M,1139000.0,787,Salaried,13.7,High School,Single,Living with Parents,13600.0,5,200000
100228,49,F,262700.0,761,Salaried,7.1,Below High School,Single,Owned,1500.0,6,300000
100229,28,M,405000.0,725,Salaried,9.7,High School,Married,Living with Parents,200.0,1,500000
100230,44,M,380100.0,737,Salaried,8.3,High School,Married,Rented,3700.0,6,25000
100231,66,M,319900.0,797,Salaried,15.7,High School,Single,Living with Parents,7700.0,5,75000
100232,19,M,60000.0,733,Student,0.0,High School,Married,Owned,800.0,0,200000
100233,61,M,597100.0,848,Salaried,16.2,Graduate,Divorced,Rented,6900.0,4,500000
100234,46,M,595800.0,764,Salaried,7.1,Graduate,Married,Owned,10800.0,2,100000
100235,59,M,523200.0,768,Self-employed,10.1,Graduate,Married,Living with Parents,9100.0,7,25000
100236,55,F,446100.0,733,Salaried,10.1,High School,Married,Rented,1600.0,3,25000
100237,42,M,919800.0,834,Salaried,11.3,Graduate,Single,Rented,23700.0,3,25000
100238,35,M,772300.0,705,Salaried,6.5,Graduate,Single,Living with Parents,11300.0,7,25000
100239,53,M,693300.0,822,Salaried,7.8,Professional Degree,Widowed,Owned,13400.0,2,500000
100240,25,F,559100.0,889,Salaried,0.5,High School,Married,Rented,5200.0,4,500000
100241,51,F,266900.0,771,Salaried,14.1,Graduate,Married,Living with Parents,100.0,6,25000
100242,23,F,526500.0,591,Salaried,0.8,High School,Married,Owned,6600.0,4,500000
100243,55,M,561500.0,700,Salaried,12.8,High School,Married,Company Provided,3400.0,3,200000
100244,53,M,533800.0,801,Salaried,12.9,Graduate,Married,Living with Parents,11300.0,2,150000
100245,22,F,597200.0,662,Self-employed,0.0,Graduate,Married,Company Provided,2300.0,2,100000
100246,61,M,802000.0,721,Salaried,16.7,Professional Degree,Married,Living with Parents,10800.0,6,75000
100247,41,F,249700.0,599,Salaried,4.3,Graduate,Married,Owned,4300.0,3,100000
100248,62,F,938500.0,720,Salaried,12.1,High School,Single,Rented,15200.0,2,500000
100249,20,M,936000.0,900,Self-employed,5.2,Post Graduate,Single,Owned,9400.0,3,500000
100250,28,F,440400.0,661,Salaried,7.3,High School,Married,Living with Parents,600.0,0,200000
100251,46,F,0.0,650,Retired,9.9,Graduate,Married,Owned,0.0,1,75000
100252,28,M,96400.0,708,Salaried,5.2,Post Graduate,Single,Living with Parents,800.0,7,75000
100253,36,M,30000.0,668,Student,2.0,Graduate,Single,Owned,100.0,6,25000
100254,55,M,600400.0,801,Salaried,15.4,Graduate,Single,Owned,7700.0,7,75000
100255,26,F,781800.0,589,Self-employed,7.1,High School,Married,Owned,6400.0,6,50000
100256,56,M,276600.0,817,Salaried,11.7,Below High School,Married,Rented,1300.0,0,500000
100257,23,M,612400.0,800,Salaried,0.0,Professional Degree,Divorced,Owned,2400.0,3,500000
100258,27,F,510700.0,785,Self-employed,1.9,High School,Married,Owned,1400.0,1,150000
100259,51,M,0.0,578,Unemployed,0.0,High School,Married,Owned,0.0,0,500000
100260,63,M,729500.0,800,Self-employed,13.3,Graduate,Widowed,Owned,6200.0,1,150000
100261,27,F,257100.0,760,Salaried,0.0,High School,Married,Company Provided,3500.0,0,75000
100262,35,M,312400.0,691,Salaried,6.4,High School,Single,Rented,4000.0,7,150000
100263,70,M,540200.0,645,Salaried,10.9,High School,Single,Owned,6500.0,4,150000
100264,74,M,358000.0,672,Self-employed,17.1,Graduate,Married,Owned,6300.0,7,75000
100265,51,M,411600.0,701,Salaried,10.3,Graduate,Single,Owned,1400.0,2,150000
100266,43,M,626300.0,779,Salaried,7.8,Post Graduate,Married,Owned,11100.0,4,500000
100267,37,F,622100.0,702,Salaried,8.3,High School,Single,Owned,9900.0,2,500000
100268,52,F,0.0,618,Unemployed,0.0,Professional Degree,Divorced,Owned,0.0,4,500000
100269,51,M,504600.0,789,Salaried,16.6,High School,Single,Owned,4000.0,4,150000
100270,34,F,496700.0,659,Salaried,3.2,High School,Married,Owned,6800.0,0,150000
100271,19,F,279100.0,693,Salaried,1.1,Professional Degree,Single,Living with Parents,4600.0,5,300000
100272,26,F,690700.0,830,Salaried,3.0,Post Graduate,Divorced,Owned,2800.0,1,75000
100273,72,F,410200.0,775,Salaried,16.7,High School,Single,Rented,7100.0,1,50000
100274,41,F,550100.0,621,Self-employed,3.1,Graduate,Single,Rented,13700.0,7,25000
100275,45,F,735200.0,643,Salaried,4.5,Post Graduate,Married,Living with Parents,9500.0,5,100000
100276,44,M,644100.0,621,Salaried,7.8,High School,Single,Owned,14200.0,0,50000
100277,62,M,216700.0,697,Salaried,8.5,High School,Married,Living with Parents,3600.0,0,300000
100278,21,M,676400.0,822,Salaried,0.0,Graduate,Married,Living with Parents,10200.0,0,50000
100279,22,M,671400.0,865,Self-employed,0.0,Post Graduate,Divorced,Company Provided,5800.0,4,25000
100280,33,F,811200.0,800,Salaried,3.6,Graduate,Divorced,Living with Parents,9000.0,5,100000
100281,45,M,1015100.0,900,Self-employed,11.5,Graduate,Widowed,Owned,6900.0,5,100000
100282,56,M,1107100.0,812,Salaried,8.2,Professional Degree,Married,Company Provided,21700.0,0,150000
100283,45,M,242900.0,801,Salaried,10.7,High School,Married,Living with Parents,2000.0,2,500000
100284,43,M,730700.0,710,Salaried,5.8,Post Graduate,Married,Owned,18300.0,1,150000
100285,71,F,244400.0,584,Salaried,14.6,High School,Married,Owned,4000.0,6,300000
100286,27,F,823200.0,712,Salaried,4.1,Graduate,Single,Company Provided,13100.0,1,200000
100287,50,M,896800.0,742,Salaried,8.8,Graduate,Married,Owned,4000.0,6,50000
100288,48,M,451900.0,900,Retired,6.3,High School,Married,Living with Parents,8000.0,1,50000
100289,44,M,466900.0,730,Salaried,6.7,Graduate,Married,Rented,5500.0,7,100000
100290,64,M,786200.0,681,Salaried,8.5,Post Graduate,Married,Living with Parents,7500.0,2,75000
100291,33,F,428900.0,808,Salaried,5.6,Graduate,Single,Owned,3800.0,2,100000
100292,72,F,445100.0,605,Salaried,6.9,Below High School,Single,Living with Parents,2300.0,4,50000
100293,36,M,432600.0,685,Salaried,8.1,Below High School,Married,Rented,5800.0,7,25000
100294,49,M,160300.0,804,Salaried,11.1,Graduate,Married,Living with Parents,2000.0,3,100000
100295,47,F,443400.0,667,Salaried,13.5,Graduate,Married,Owned,2000.0,3,75000
100296,66,F,1277700.0,900,Self-employed,20.9,Graduate,Married,Owned,21400.0,3,150000
100297,43,M,533600.0,813,Salaried,10.3,High School,Divorced,Owned,14700.0,2,50000
